Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Brand
18750,4,23000,Petrol,283,1,1,1600,BMW
18450,6,34131,Petrol,283,0,1,1600,BMW
16895,4,18739,Petrol,283,1,1,1600,BMW
14900,3,34000,Petrol,283,1,1,1400,BMW
18950,4,21716,Petrol,283,1,1,1600,BMW
17250,3,25563,Petrol,283,1,1,1600,BMW
15450,5,18739,Petrol,283,1,1,1400,BMW
17950,3,34000,Petrol,283,1,1,1600,BMW
16650,5,21716,Petrol,283,1,1,1400,BMW
17450,3,25563,Petrol,283,1,1,1600,BMW
14900,6,19700,Petrol,184,1,1,1400,Honda 
17950,0,71138,Petrol,184,1,1,2000,Honda 
15950,10,31461,Petrol,184,1,1,1400,Honda 
21950,2,43610,Petrol,184,1,1,2000,Honda 
16450,3,32189,Petrol,184,1,1,1400,Honda 
22250,2,23000,Petrol,184,1,1,2000,Honda 
19950,3,34131,Petrol,184,1,1,1995,Honda 
15950,4,18739,Petrol,184,1,1,1400,Honda 
18900,2,18739,Petrol,184,0,1,1600,Honda 
19950,3,34000,Petrol,184,1,1,1995,Honda 
15950,4,21716,Petrol,287,1,1,1400,Mercedes
15950,5,25563,Petrol,287,1,1,1400,Mercedes
18750,4,19700,Petrol,287,1,1,1600,Mercedes
17450,3,71138,Petrol,,1,1,1400,Mercedes
18990,4,31461,Petrol,287,1,1,1600,Mercedes
16250,4,43610,Petrol,287,1,1,1400,Mercedes
18500,5,32189,Petrol,287,0,1,1400,Mercedes
18500,4,23000,Petrol,287,1,1,1600,Mercedes
19450,5,34131,Petrol,287,1,1,1600,Mercedes
16950,4,18739,Petrol,180,1,1,1400,Toyota
18800,5,46986,Petrol,180,1,1,1600,Toyota
17450,4,72937,Petrol,180,1,1,1400,Toyota
93454,0,2,Petrol,769,1,1,6500,Lamboghini
32500,5,48000,Petrol,169,0,1,2000,Toyota
31000,4,38500,Petrol,169,1,1,2000,Toyota
31275,5,61000,Petrol,169,1,1,2000,Toyota
24950,4,94612,Petrol,169,1,1,2000,Toyota
24950,5,75889,Petrol,169,1,1,2000,Toyota
22950,6,19700,Petrol,169,1,1,2000,Toyota
24990,4,19700,Petrol,169,1,1,2000,Toyota
21950,4,71138,Petrol,169,1,1,2000,Toyota
17900,7,31461,Petrol,169,1,1,1600,Toyota
19250,8,43610,Petrol,169,1,1,2000,Toyota
22250,6,32189,Petrol,169,1,1,2000,Toyota
18950,5,23000,Petrol,94,0,1,1600,Proton
19950,4,34131,Petrol,94,1,1,2000,Proton
16350,5,18739,Petrol,94,1,1,1600,Proton
18950,6,34000,Petrol,94,1,1,1600,Proton
16950,5,21716,Petrol,94,0,1,1600,Proton
21750,6,25563,Petrol,94,1,1,1600,Proton
15950,7,15355,Petrol,94,1,1,1600,Proton
16500,6,46986,Petrol,94,1,1,1400,Proton
17950,5,72937,Petrol,94,1,1,1400,Proton
15850,6,41711,Petrol,94,1,1,1600,Proton
16250,7,48000,Petrol,288,1,1,1400,Mercedes
15950,6,38500,Petrol,288,1,1,1400,Mercedes
16250,5,61000,Petrol,288,1,1,1400,Mercedes
15950,6,94612,Petrol,288,1,1,1600,Mercedes
16500,5,75889,Petrol,288,0,1,1400,Mercedes
16500,3,19700,Petrol,288,0,1,1400,Mercedes
18450,2,19700,Petrol,288,0,1,1400,Mercedes
16250,4,71138,Petrol,,1,1,1600,Mercedes
23000,3,31461,Petrol,288,1,1,2000,Mercedes
19900,5,43610,Petrol,450,1,1,1600,Audi
16450,4,32189,Petrol,450,1,1,1400,Audi
23950,6,23000,Petrol,450,1,1,1800,Audi
19950,4,34131,Petrol,450,1,1,1600,Audi
18500,2,18739,Petrol,450,1,1,1600,Audi
18950,4,34000,Petrol,450,1,1,1600,Audi
16450,6,21716,Petrol,450,0,1,1400,Audi
20500,4,25563,Petrol,450,0,1,1600,Audi
24500,3,46986,Petrol,450,1,1,1600,Audi
19450,4,72937,Petrol,450,0,1,1600,Audi
20950,3,41711,Petrol,450,1,1,1600,Audi
17200,5,48000,Petrol,450,1,1,1400,Audi
19950,3,38500,Petrol,450,0,1,1600,Audi
18450,5,61000,Petrol,450,1,1,1400,Audi
19500,3,94612,Petrol,450,1,1,1600,Audi
21750,6,75889,Petrol,450,1,1,1600,Audi
16868,0,19700,Petrol,450,1,1,1400,Audi
19500,10,19700,Petrol,450,1,1,1600,Audi
18900,2,71138,Petrol,450,1,1,1600,Audi
19750,3,31461,Petrol,450,1,1,1600,Audi
19750,2,43610,Petrol,450,0,1,1600,Audi
18950,3,32189,Petrol,450,1,1,1600,Audi
20750,4,23000,Battery,283,0,1,1598,Tesla
19600,2,34131,Battery,283,1,1,1600,Tesla
19500,3,18739,Battery,283,1,1,1600,Tesla
17650,4,34000,Battery,283,1,1,1400,Tesla
19950,5,21716,Battery,283,0,1,1600,Tesla
19950,4,25563,Battery,283,1,1,1600,Tesla
20950,3,19700,Battery,283,1,1,1600,Tesla
20500,4,71138,Battery,283,1,1,1600,Tesla
17795,4,31461,Battery,283,1,1,1400,Tesla
18245,5,43610,Battery,283,1,1,1600,Tesla
23750,4,32189,Battery,283,1,1,1600,Tesla
19500,5,23000,Petrol,325,1,1,1400,Ford
18950,4,34131,Petrol,325,1,1,1400,Ford
21950,5,18739,Petrol,325,1,1,1600,Ford
19950,4,34000,Petrol,325,1,1,1600,Ford
18950,4,21716,Petrol,160,0,1,1600,Porshe 
19950,5,25563,Petrol,394,1,1,1600,Porshe 
21950,4,19700,Petrol,394,1,1,1600,Porshe 
22500,5,71138,Petrol,394,0,1,1600,Porshe 
18500,4,31461,Petrol,394,0,1,1600,Porshe 
18700,5,43610,Petrol,394,1,1,1400,Porshe 
21125,6,32189,Petrol,394,1,1,1400,Porshe 
21500,4,23000,Petrol,394,1,1,1600,Porshe 
17795,4,34131,Petrol,394,1,1,1400,Porshe 
18245,7,18739,Petrol,394,1,1,1600,Porshe 
6950,8,34000,Petrol,394,0,1,1900,Porshe 
9500,6,21716,Petrol,394,0,1,2000,Porshe 
11950,5,25563,Petrol,394,1,1,2000,Porshe 
7750,4,18739,Petrol,394,0,1,1600,Porshe 
11950,5,34000,Petrol,394,1,1,1900,Porshe 
4350,6,21716,Petrol,394,0,1,1800,Porshe 
4750,5,25563,Petrol,394,1,1,1800,Porshe 
11750,6,19700,Petrol,394,1,1,1900,Porshe 
13250,7,71138,Petrol,394,1,1,1900,Porshe 
11950,6,31461,Petrol,394,1,1,1600,Porshe 
11900,5,43610,Petrol,394,1,1,1900,Porshe 
14750,6,32189,Petrol,394,1,1,2000,Porshe 
9950,7,23000,Petrol,394,1,1,1400,Porshe 
11950,6,34131,Petrol,394,1,1,1600,Porshe 
11495,5,18739,Petrol,394,1,1,1600,Porshe 
11250,6,18739,Petrol,394,1,1,1400,Porshe 
10500,5,34000,Petrol,394,1,1,1600,Porshe 
10450,4,21716,Petrol,394,1,1,1900,Porshe 
12950,5,25563,Petrol,394,1,1,1900,Porshe 
11500,4,19700,Petrol,394,1,1,1600,Porshe 
12500,6,71138,Petrol,394,1,1,1600,Porshe 
10950,5,31461,Petrol,394,0,1,1400,Porshe 
11450,4,43610,Petrol,394,0,1,1600,Porshe 
11950,3,32189,Petrol,394,1,1,1600,Porshe 
13250,4,23000,Petrol,180,1,1,1900,Toyota
14750,5,34131,Petrol,180,1,1,2000,Toyota
11790,4,18739,Petrol,180,1,1,1600,Toyota
11450,5,46986,Petrol,180,1,1,1600,Toyota
13500,6,72937,Petrol,90,1,1,2000,Honda 
10950,7,41711,Petrol,288,1,1,1600,BMW
13500,5,48000,Petrol,288,0,1,1900,BMW
10950,4,38500,Petrol,288,1,1,1400,BMW
10950,5,61000,Petrol,288,1,1,1400,BMW
12950,6,94612,Petrol,288,1,1,1600,BMW
11950,5,75889,Petrol,288,1,1,1600,BMW
12450,4,19700,Petrol,288,1,1,1600,BMW
11950,7,19700,Petrol,288,1,1,1598,BMW
14950,6,71138,Petrol,288,1,1,1600,BMW
12450,7,31461,Petrol,288,1,1,1600,BMW
12950,6,43610,Petrol,288,1,1,1600,BMW
11950,5,32189,Petrol,288,1,1,1600,BMW
11690,4,23000,Petrol,180,1,1,1400,Honda 
12450,5,34131,Petrol,180,1,1,1600,Honda 
12750,6,18739,Petrol,180,1,1,1400,Honda 
11925,5,34000,Petrol,180,0,1,1400,Honda 
12950,4,21716,Petrol,180,1,1,1600,Honda 
11950,5,25563,Petrol,180,1,1,1400,Honda 
12900,6,23231,Petrol,180,1,1,1600,Honda 
11900,4,46986,Petrol,180,0,1,1600,Honda 
11650,5,72937,Petrol,180,1,1,1600,Honda 
10950,4,41711,Petrol,180,0,1,1600,Honda 
13950,5,48000,Petrol,255,1,1,1900,Mercedes
13950,6,38500,Petrol,255,0,1,1600,Mercedes
11950,7,61000,Petrol,255,1,1,1600,Mercedes
10950,5,94612,Petrol,255,1,1,1600,Mercedes
12450,4,75889,Petrol,255,1,1,1600,Mercedes
11950,5,19700,Petrol,255,1,1,1600,Mercedes
13500,6,19700,Petrol,255,1,1,2000,Mercedes
11690,5,71138,Petrol,255,1,1,1600,Mercedes
13500,4,31461,Petrol,255,1,1,1600,Mercedes
11950,7,43610,Petrol,110,0,1,1600,Toyota
12900,6,32189,Petrol,110,1,1,1600,Toyota
13500,7,23000,Petrol,110,1,1,1600,Toyota
11750,6,34131,Petrol,110,0,1,1600,Toyota
11750,5,18739,Petrol,110,0,1,1600,Toyota
10850,4,34000,Petrol,110,0,1,1600,Toyota
11750,5,21716,Petrol,110,1,1,1600,Toyota
14950,6,25563,Petrol,110,1,1,1600,Toyota
9940,5,46986,Petrol,110,1,1,1600,Toyota
12900,4,72937,Petrol,110,0,1,1600,Toyota
13500,5,41711,Petrol,110,1,1,1600,Toyota
11750,6,48000,Petrol,110,1,1,1400,Toyota
11950,4,38500,Petrol,110,0,1,1400,Toyota
13450,5,61000,Petrol,110,1,1,1600,Toyota
11950,4,94612,Petrol,110,1,1,1400,Toyota
12495,5,75889,Petrol,159,1,1,1600,Proton
13500,6,19700,Petrol,159,0,1,1600,Proton
12750,7,19700,Petrol,159,1,1,1600,Proton
12000,5,71138,Petrol,159,1,1,1400,Proton
11950,4,31461,Petrol,159,1,1,1600,Proton
12495,5,43610,Petrol,159,1,1,1600,Proton
12450,6,32189,Petrol,159,1,1,1600,Proton
14750,5,23000,Petrol,159,1,1,2000,Proton
10950,4,34131,Petrol,159,0,1,1600,Proton
13500,7,18739,Petrol,159,1,1,1900,Proton
12950,6,34000,Petrol,255,1,1,1600,Mercedes
13500,7,21716,Petrol,255,1,1,1900,Mercedes
13450,6,25563,Petrol,255,1,1,1600,Mercedes
13500,5,19700,Petrol,255,1,1,1600,Mercedes
11480,4,71138,Petrol,255,1,1,1600,Mercedes
13450,5,31461,Petrol,255,1,1,1400,Mercedes
11495,6,43610,Petrol,255,0,1,1600,Mercedes
12750,5,32189,Petrol,255,0,1,1400,Mercedes
14990,4,23000,Petrol,255,1,1,1600,Mercedes
12950,5,34131,Petrol,120,1,1,1400,Toyota
12950,6,18739,Petrol,120,1,1,1600,Toyota
12850,4,34000,Petrol,120,1,1,1400,Toyota
13950,5,21716,Petrol,120,1,1,1600,Toyota
11950,4,25563,Petrol,110,1,1,1600,Honda 
12950,5,19700,Petrol,288,1,1,1600,BMW
11700,6,71138,Petrol,288,1,1,1600,BMW
9950,7,31461,Petrol,110,0,1,1400,Honda 
11895,5,43610,Petrol,288,1,1,1400,BMW
12950,4,32189,Petrol,288,1,1,1600,BMW
12500,5,23000,Petrol,110,1,1,1600,Honda 
13875,6,34131,Petrol,110,1,1,1600,Honda 
10500,5,18739,Petrol,110,0,1,1600,Honda 
12295,4,34000,Petrol,288,1,1,1600,BMW
13950,7,21716,Petrol,288,1,1,1600,BMW
10950,6,25563,Petrol,288,0,1,1600,BMW
12950,7,18739,Petrol,288,1,1,1600,BMW
12850,6,34000,Petrol,110,1,1,1600,Honda 
